,species,years,rel_reg_persist,sites,rel_reg_occup,mean_local_persist,mean_local_occup,count,adj_abund,avg_abund,adj_avg_abund,sp_system,LTER,Genus,Species,Binomial,AdultBodyMass_g,DietBreadth,HabitatBreadth,HomeRange_km2
1,CHPE,13,1,6,1,0.666666667,0.666666667,406,0.201889607,7.807692308,0.194262328,CHPE_jor,jor,Chaetodipus,penicillatus,Chaetodipus penicillatus,15.57,NA,NA,0.005027576
2,DIME,13,1,5,0.833333333,0.723076923,0.602564103,1889,0.939333665,40.19148936,1,DIME_jor,jor,Dipodomys,merriami,Dipodomys merriami,37.91,1,NA,0.001745298
3,DIOR,13,1,6,1,0.666666667,0.666666667,2011,1,38.67307692,0.962220548,DIOR_jor,jor,Dipodomys,ordii,Dipodomys ordii,50.4,5,NA,0.004440926
4,DISP,12,0.923076923,4,0.666666667,0.730769231,0.527777778,257,0.127797116,6.763157895,0.168273383,DISP_jor,jor,Dipodomys,spectabilis,Dipodomys spectabilis,124.61,4,2,0.000506179
5,MUMU,1,0.076923077,3,0.5,0.076923077,0.5,9,0.004475385,3,0.074642668,MUMU_jor,jor,Mus,musculus,Mus musculus,19.3,1,2,0.0005162
6,NEAL,12,0.923076923,6,1,0.653846154,0.708333333,371,0.184485331,7.274509804,0.180996274,NEAL_jor,jor,Neotoma,albigula,Neotoma albigula,208.18,2,1,0.000197477
7,NEMI,11,0.846153846,6,1,0.371794872,0.439393939,126,0.062655395,4.344827586,0.108103174,NEMI_jor,jor,Neotoma,micropus,Neotoma micropus,255.14,5,NA,0.000200287
8,ONAR,13,1,6,1,0.602564103,0.602564103,246,0.1223272,5.234042553,0.130227634,ONAR_jor,jor,Onychomys,arenicola,Onychomys arenicola,30,NA,NA,NA
9,ONLE,13,1,4,0.666666667,0.711538462,0.474358974,203,0.100944804,5.486486486,0.136508663,ONLE_jor,jor,Onychomys,leucogaster,Onychomys leucogaster,27.92,4,2,0.02
10,PEBO,1,0.076923077,1,0.166666667,0.076923077,0.166666667,1,0.000497265,1,0.024880889,PEBO_jor,jor,Peromyscus,boylii,Peromyscus boylii,23.9,NA,NA,0.002848598
11,PEER,2,0.153846154,3,0.5,0.076923077,0.25,6,0.00298359,2,0.049761779,PEER_jor,jor,Peromyscus,eremicus,Peromyscus eremicus,22.73,6,2,0.002263355
12,PELE,11,0.846153846,6,1,0.384615385,0.454545455,165,0.082048732,5.5,0.136844891,PELE_jor,jor,Peromyscus,leucopus,Peromyscus leucopus,18.07,6,3,0.000886749
13,PEMA,1,0.076923077,3,0.5,0.076923077,0.5,5,0.002486325,1.666666667,0.041468149,PEMA_jor,jor,Peromyscus,maniculatus,Peromyscus maniculatus,19.98,4,2,0.002028926
14,PGFL,12,0.923076923,6,1,0.602564103,0.652777778,248,0.12332173,5.276595745,0.131286395,PGFL_jor,jor,Perognathus,flavus,Perognathus flavus,7.97,3,2,0.001896819
15,REME,6,0.461538462,3,0.5,0.333333333,0.361111111,44,0.021879662,3.384615385,0.084212241,REME_jor,jor,Reithrodontomys,megalotis,Reithrodontomys megalotis,10.72,NA,2,0.001008937
16,SIHI,10,0.769230769,6,1,0.358974359,0.466666667,193,0.095972153,6.892857143,0.171500416,SIHI_jor,jor,Sigmodon,hispidus,Sigmodon hispidus,110.65,5,NA,0.002399307
17,SPSP,13,1,6,1,0.884615385,0.884615385,428,0.212829438,6.202898551,0.154333633,SPSP_jor,jor,Spermophilus,spilosoma,Spermophilus spilosoma,106.64,6,2,0.009534137
18,CLCA,5,1,9,1,0.644444444,0.644444444,333,0.134004024,11.48275862,0.207937279,CLCA_hja,hja,Myodes,californicus,Myodes californicus,18.3,NA,NA,0.001246353
19,DITE,3,0.6,7,0.777777778,0.285714286,0.37037037,11,0.004426559,1.1,0.019919517,DITE_hja,hja,,,,,,,
