,MSW05_Order,MSW05_Genus,MSW05_Species,MSW05_Binomial,X5.1_AdultBodyMass_g,X6.1_DietBreadth,X12.1_HabitatBreadth,X22.1_HomeRange_km2
1,Rodentia,Abditomys,latidens,Abditomys latidens,268.09,NA,NA,NA
2,Rodentia,Abeomelomys,sevia,Abeomelomys sevia,54.88,NA,2,NA
3,Rodentia,Abrawayaomys,ruschii,Abrawayaomys ruschii,62.99,NA,NA,NA
4,Rodentia,Abrocoma,bennettii,Abrocoma bennettii,250.5,NA,3,NA
5,Rodentia,Abrocoma,boliviensis,Abrocoma boliviensis,158,NA,NA,NA
6,Rodentia,Abrocoma,budini,Abrocoma budini,NA,NA,NA,NA
7,Rodentia,Abrocoma,cinerea,Abrocoma cinerea,193.64,NA,3,NA
8,Rodentia,Abrocoma,famatina,Abrocoma famatina,NA,NA,NA,NA
9,Rodentia,Abrocoma,shistacea,Abrocoma shistacea,NA,NA,NA,NA
10,Rodentia,Abrocoma,uspallata,Abrocoma uspallata,NA,NA,NA,NA
11,Rodentia,Abrocoma,vaccarum,Abrocoma vaccarum,NA,NA,NA,NA
12,Rodentia,Abrothrix,andinus,Abrothrix andinus,24.91,NA,2,NA
13,Rodentia,Abrothrix,hershkovitzi,Abrothrix hershkovitzi,NA,NA,NA,NA
14,Rodentia,Abrothrix,illuteus,Abrothrix illuteus,47.79,NA,NA,NA
15,Rodentia,Abrothrix,jelskii,Abrothrix jelskii,34.5,3,1,NA
16,Rodentia,Abrothrix,lanosus,Abrothrix lanosus,27.83,NA,NA,NA
17,Rodentia,Abrothrix,longipilis,Abrothrix longipilis,38.86,7,3,NA
18,Rodentia,Abrothrix,markhami,Abrothrix markhami,NA,NA,NA,NA
19,Rodentia,Abrothrix,olivaceus,Abrothrix olivaceus,24.52,7,3,0.000448137
20,Rodentia,Abrothrix,sanborni,Abrothrix sanborni,24.7,6,NA,NA
21,Chiroptera,Acerodon,celebensis,Acerodon celebensis,384.84,NA,1,NA
22,Chiroptera,Acerodon,humilis,Acerodon humilis,NA,NA,1,NA
23,Chiroptera,Acerodon,jubatus,Acerodon jubatus,1087.04,2,1,NA
24,Chiroptera,Acerodon,leucotis,Acerodon leucotis,NA,NA,1,NA
25,Chiroptera,Acerodon,mackloti,Acerodon mackloti,467.93,1,1,NA
26,Carnivora,Acinonyx,jubatus,Acinonyx jubatus,50577.92,1,1,88.27
27,Rodentia,Acomys,cahirinus,Acomys cahirinus,41.16,NA,NA,0.000880412
28,Rodentia,Acomys,chudeaui,Acomys chudeaui,NA,NA,NA,NA
29,Rodentia,Acomys,cilicicus,Acomys cilicicus,NA,NA,NA,NA
30,Rodentia,Acomys,cineraceus,Acomys cineraceus,NA,NA,NA,NA
31,Rodentia,Acomys,dimidiatus,Acomys dimidiatus,NA,NA,NA,NA
32,Rodentia,Acomys,ignitus,Acomys ignitus,NA,NA,NA,NA
33,Rodentia,Acomys,johannis,Acomys johannis,NA,NA,NA,NA
34,Rodentia,Acomys,kempi,Acomys kempi,21.99,NA,NA,NA
35,Rodentia,Acomys,louisae,Acomys louisae,20.19,NA,NA,NA
36,Rodentia,Acomys,minous,Acomys minous,62.5,NA,NA,NA
37,Rodentia,Acomys,mullah,Acomys mullah,NA,NA,NA,NA
38,Rodentia,Acomys,nesiotes,Acomys nesiotes,NA,NA,NA,NA
39,Rodentia,Acomys,percivali,Acomys percivali,21.99,NA,NA,NA
40,Rodentia,Acomys,russatus,Acomys russatus,42.35,NA,NA,0.000488186
41,Rodentia,Acomys,seurati,Acomys seurati,NA,NA,NA,NA
42,Rodentia,Acomys,spinosissimus,Acomys spinosissimus,26.5,NA,NA,NA
43,Rodentia,Acomys,subspinosus,Acomys subspinosus,21.92,NA,NA,NA
44,Rodentia,Acomys,wilsoni,Acomys wilsoni,18.5,NA,NA,NA
45,Rodentia,Acomys,airensis,Acomys airensis,NA,NA,NA,NA
46,Rodentia,Aconaemys,fuscus,Aconaemys fuscus,129.95,2,2,NA
47,Rodentia,Aconaemys,porteri,Aconaemys porteri,NA,NA,NA,NA
48,Rodentia,Aconaemys,sagei,Aconaemys sagei,96.49,NA,2,NA
49,Diprotodontia,Acrobates,pygmaeus,Acrobates pygmaeus,13.84,3,NA,0.005959065
50,Artiodactyla,Addax,nasomaculatus,Addax nasomaculatus,96077.36,5,1,NA
51,Rodentia,Aepeomys,lugens,Aepeomys lugens,37,NA,1,NA
52,Rodentia,Aepeomys,reigi,Aepeomys reigi,NA,NA,NA,NA
53,Artiodactyla,Aepyceros,melampus,Aepyceros melampus,52591.69,2,1,1.97
54,Diprotodontia,Aepyprymnus,rufescens,Aepyprymnus rufescens,2810.31,NA,NA,NA
55,Rodentia,Aeretes,melanopterus,Aeretes melanopterus,NA,NA,NA,NA
56,Rodentia,Aeromys,tephromelas,Aeromys tephromelas,1187,NA,NA,NA
57,Rodentia,Aeromys,thomasi,Aeromys thomasi,1430.19,NA,NA,NA
58,Chiroptera,Aethalops,aequalis,Aethalops aequalis,NA,NA,NA,NA
59,Chiroptera,Aethalops,alecto,Aethalops alecto,15,NA,1,NA
60,Rodentia,Aethomys,bocagei,Aethomys bocagei,NA,NA,NA,NA
61,Rodentia,Aethomys,chrysophilus,Aethomys chrysophilus,80.85,NA,NA,NA
62,Rodentia,Aethomys,hindei,Aethomys hindei,140.65,NA,NA,0.000609998
63,Rodentia,Aethomys,ineptus,Aethomys ineptus,133.16,NA,NA,NA
64,Rodentia,Aethomys,kaiseri,Aethomys kaiseri,89.99,NA,NA,NA
65,Rodentia,Aethomys,nyikae,Aethomys nyikae,NA,NA,NA,NA
66,Rodentia,Aethomys,silindensis,Aethomys silindensis,NA,NA,NA,NA
67,Rodentia,Aethomys,stannarius,Aethomys stannarius,NA,NA,NA,NA
68,Rodentia,Aethomys,thomasi,Aethomys thomasi,NA,NA,NA,NA
69,Carnivora,Ailuropoda,melanoleuca,Ailuropoda melanoleuca,117999.99,3,1,3.55
70,Diprotodontia,Ailurops,melanotis,Ailurops melanotis,NA,NA,NA,NA
71,Diprotodontia,Ailurops,ursinus,Ailurops ursinus,10000,1,1,NA
72,Carnivora,Ailurus,fulgens,Ailurus fulgens,5170.08,3,1,1.43
73,Rodentia,Akodon,aerosus,Akodon aerosus,59.99,NA,NA,NA
74,Rodentia,Akodon,affinis,Akodon affinis,24.89,4,1,NA
75,Rodentia,Akodon,albiventer,Akodon albiventer,25.95,1,1,NA
76,Rodentia,Akodon,aliquantulus,Akodon aliquantulus,NA,NA,NA,NA
77,Rodentia,Akodon,azarae,Akodon azarae,25.27,4,2,NA
78,Rodentia,Akodon,bogotensis,Akodon bogotensis,12.99,NA,NA,NA
79,Rodentia,Akodon,boliviensis,Akodon boliviensis,27.5,3,1,NA
80,Rodentia,Akodon,budini,Akodon budini,26.9,NA,NA,NA
81,Rodentia,Akodon,cursor,Akodon cursor,39.84,4,1,NA
82,Rodentia,Akodon,dayi,Akodon dayi,32.49,NA,NA,NA
83,Rodentia,Akodon,dolores,Akodon dolores,50.49,NA,NA,NA
84,Rodentia,Akodon,fumeus,Akodon fumeus,22.69,NA,NA,NA
85,Rodentia,Akodon,iniscatus,Akodon iniscatus,28.7,NA,NA,NA
86,Rodentia,Akodon,juninensis,Akodon juninensis,38.99,NA,NA,NA
87,Rodentia,Akodon,kofordi,Akodon kofordi,29.49,NA,NA,NA
88,Rodentia,Akodon,latebricola,Akodon latebricola,38.99,NA,NA,NA
89,Rodentia,Akodon,leucolimnaeus,Akodon leucolimnaeus,NA,NA,NA,NA
90,Rodentia,Akodon,lindberghi,Akodon lindberghi,26.4,NA,NA,NA
91,Rodentia,Akodon,lutescens,Akodon lutescens,20.69,NA,NA,NA
92,Rodentia,Akodon,mimus,Akodon mimus,23.99,NA,NA,NA
93,Rodentia,Akodon,molinae,Akodon molinae,32.99,NA,1,NA
94,Rodentia,Akodon,mollis,Akodon mollis,30.39,NA,NA,NA
95,Rodentia,Akodon,montensis,Akodon montensis,NA,NA,NA,NA
96,Rodentia,Akodon,mystax,Akodon mystax,NA,NA,NA,NA
97,Rodentia,Akodon,neocenus,Akodon neocenus,42.39,NA,NA,NA
98,Rodentia,Akodon,oenos,Akodon oenos,NA,NA,NA,NA
99,Rodentia,Akodon,orophilus,Akodon orophilus,38.99,NA,NA,NA
100,Rodentia,Akodon,paranaensis,Akodon paranaensis,NA,NA,NA,NA
101,Rodentia,Akodon,pervalens,Akodon pervalens,NA,NA,NA,NA
102,Rodentia,Akodon,reigi,Akodon reigi,NA,NA,NA,NA
103,Rodentia,Akodon,sanctipaulensis,Akodon sanctipaulensis,27.1,NA,NA,NA
104,Rodentia,Akodon,serrensis,Akodon serrensis,28.3,NA,NA,NA
105,Rodentia,Akodon,siberiae,Akodon siberiae,34.6,NA,NA,NA
106,Rodentia,Akodon,simulator,Akodon simulator,42.5,NA,NA,NA
107,Rodentia,Akodon,spegazzinii,Akodon spegazzinii,28.6,NA,NA,NA
108,Rodentia,Akodon,subfuscus,Akodon subfuscus,30.39,NA,NA,NA
109,Rodentia,Akodon,surdus,Akodon surdus,38.99,NA,NA,NA
110,Rodentia,Akodon,sylvanus,Akodon sylvanus,38.99,NA,NA,NA
111,Rodentia,Akodon,toba,Akodon toba,51.2,NA,NA,NA
112,Rodentia,Akodon,torques,Akodon torques,38.99,NA,NA,NA
113,Rodentia,Akodon,varius,Akodon varius,40,1,2,NA
114,Artiodactyla,Alcelaphus,buselaphus,Alcelaphus buselaphus,160937.86,2,1,2.73
115,Artiodactyla,Alcelaphus,caama,Alcelaphus caama,176115.97,NA,NA,NA
116,Artiodactyla,Alcelaphus,lichtensteinii,Alcelaphus lichtensteinii,168695.66,3,1,4.41
117,Artiodactyla,Alces,alces,Alces alces,461900.76,1,1,71.75
118,Artiodactyla,Alces,americanus,Alces americanus,541460.44,2,NA,NA
119,Chiroptera,Alionycteris,paucidentata,Alionycteris paucidentata,16.24,NA,1,NA
120,Rodentia,Allactaga,balikunica,Allactaga balikunica,NA,NA,NA,NA
121,Rodentia,Allactaga,bullata,Allactaga bullata,NA,NA,NA,NA
122,Rodentia,Allactaga,elater,Allactaga elater,59,NA,NA,NA
123,Rodentia,Allactaga,euphratica,Allactaga euphratica,232,NA,NA,NA
124,Rodentia,Allactaga,firouzi,Allactaga firouzi,NA,NA,NA,NA
125,Rodentia,Allactaga,hotsoni,Allactaga hotsoni,NA,NA,NA,NA
126,Rodentia,Allactaga,major,Allactaga major,NA,NA,NA,NA
127,Rodentia,Allactaga,severtzovi,Allactaga severtzovi,NA,NA,NA,NA
128,Rodentia,Allactaga,sibirica,Allactaga sibirica,NA,NA,NA,NA
129,Rodentia,Allactaga,tetradactyla,Allactaga tetradactyla,52,NA,NA,NA
130,Rodentia,Allactaga,vinogradovi,Allactaga vinogradovi,NA,NA,NA,NA
131,Rodentia,Allactaga,williamsi,Allactaga williamsi,NA,NA,NA,NA
132,Rodentia,Allactodipus,bobrinskii,Allactodipus bobrinskii,NA,NA,NA,NA
133,Primates,Allenopithecus,nigroviridis,Allenopithecus nigroviridis,4749.96,NA,NA,NA
134,Primates,Allocebus,trichotis,Allocebus trichotis,78.09,4,1,NA
135,Rodentia,Allocricetulus,curtatus,Allocricetulus curtatus,NA,NA,NA,NA
136,Rodentia,Allocricetulus,eversmanni,Allocricetulus eversmanni,NA,NA,NA,NA
137,Primates,Alouatta,belzebul,Alouatta belzebul,6157.91,NA,1,NA
138,Primates,Alouatta,caraya,Alouatta caraya,5576.96,3,NA,NA
139,Primates,Alouatta,coibensis,Alouatta coibensis,NA,NA,NA,NA
140,Primates,Alouatta,guariba,Alouatta guariba,5188.33,4,1,0.03
141,Primates,Alouatta,macconnelli,Alouatta macconnelli,NA,NA,NA,NA
142,Primates,Alouatta,nigerrima,Alouatta nigerrima,NA,NA,NA,NA
143,Primates,Alouatta,palliata,Alouatta palliata,6576.99,2,1,0.19
144,Primates,Alouatta,pigra,Alouatta pigra,7172.06,2,1,0.3
145,Primates,Alouatta,sara,Alouatta sara,6611.04,NA,NA,NA
146,Primates,Alouatta,seniculus,Alouatta seniculus,6398.31,6,1,0.1
147,Rodentia,Alticola,albicaudus,Alticola albicaudus,NA,NA,NA,NA
148,Rodentia,Alticola,argentatus,Alticola argentatus,37.69,2,NA,NA
149,Rodentia,Alticola,barakshin,Alticola barakshin,NA,NA,NA,NA
150,Rodentia,Alticola,lemminus,Alticola lemminus,NA,NA,NA,NA
151,Rodentia,Alticola,macrotis,Alticola macrotis,NA,NA,NA,NA
152,Rodentia,Alticola,montosa,Alticola montosa,NA,NA,NA,NA
153,Rodentia,Alticola,olchonensis,Alticola olchonensis,NA,NA,NA,NA
154,Rodentia,Alticola,roylei,Alticola roylei,37,NA,NA,NA
155,Rodentia,Alticola,semicanus,Alticola semicanus,NA,NA,NA,NA
156,Rodentia,Alticola,stoliczkanus,Alticola stoliczkanus,30.14,NA,1,NA
157,Rodentia,Alticola,strelzowi,Alticola strelzowi,49.99,NA,1,NA
158,Rodentia,Alticola,tuvinicus,Alticola tuvinicus,NA,NA,NA,NA
159,Rodentia,Amblyrhiza,inundata,Amblyrhiza inundata,NA,NA,NA,NA
160,Afrosoricida,Amblysomus,corriae,Amblysomus corriae,NA,NA,NA,NA
161,Afrosoricida,Amblysomus,hottentotus,Amblysomus hottentotus,62.6,2,2,0.000334208
162,Afrosoricida,Amblysomus,marleyi,Amblysomus marleyi,NA,NA,NA,NA
163,Afrosoricida,Amblysomus,robustus,Amblysomus robustus,NA,NA,NA,NA
164,Afrosoricida,Amblysomus,septentrionalis,Amblysomus septentrionalis,NA,NA,NA,NA
165,Chiroptera,Ametrida,centurio,Ametrida centurio,10.61,1,1,NA
166,Rodentia,Ammodillus,imbellis,Ammodillus imbellis,49.99,NA,NA,NA
167,Artiodactyla,Ammodorcas,clarkei,Ammodorcas clarkei,28049.81,NA,1,NA
168,Rodentia,Ammospermophilus,harrisii,Ammospermophilus harrisii,126.57,4,NA,NA
169,Rodentia,Ammospermophilus,insularis,Ammospermophilus insularis,NA,NA,NA,NA
170,Rodentia,Ammospermophilus,interpres,Ammospermophilus interpres,112.53,4,2,NA
171,Rodentia,Ammospermophilus,leucurus,Ammospermophilus leucurus,103.92,5,2,0.04
172,Rodentia,Ammospermophilus,nelsoni,Ammospermophilus nelsoni,160.42,5,2,0.03
173,Artiodactyla,Ammotragus,lervia,Ammotragus lervia,94202.22,2,1,7.06
174,Chiroptera,Amorphochilus,schnablii,Amorphochilus schnablii,NA,1,1,NA
175,Rodentia,Amphinectomys,savamis,Amphinectomys savamis,NA,NA,NA,NA
176,Scandentia,Anathana,ellioti,Anathana ellioti,160,NA,NA,NA
177,Rodentia,Andalgalomys,olrogi,Andalgalomys olrogi,32.9,NA,1,NA
178,Rodentia,Andalgalomys,pearsoni,Andalgalomys pearsoni,25.4,NA,1,NA
179,Rodentia,Andalgalomys,roigi,Andalgalomys roigi,NA,NA,NA,NA
180,Rodentia,Andinomys,edax,Andinomys edax,69.75,NA,1,NA
181,Rodentia,Anisomys,imitator,Anisomys imitator,510.5,3,2,NA
182,Rodentia,Anomalurus,beecrofti,Anomalurus beecrofti,479.07,NA,1,NA
183,Rodentia,Anomalurus,derbianus,Anomalurus derbianus,665.84,1,1,0.04
184,Rodentia,Anomalurus,pelii,Anomalurus pelii,1769.99,NA,NA,NA
185,Rodentia,Anomalurus,pusillus,Anomalurus pusillus,250,NA,1,NA
