SAMPLE	SESSION	VEG	DAY	MONTH	YEAR	WEB	NIGHT	TRAP	CAPT	TAG	SPP	AGE	SEX	REPROD	WT	NOTES	Stapp comments
1	Sep-94	SHRUB	29	8	1994	24NE	1	30	N		DIOR	A	M	N	65		
1	Sep-94	SHRUB	29	8	1994	24NE	1	39	N	1026	DIOR	A	M	N	52		
1	Sep-94	SHRUB	29	8	1994	24NE	1	48	N	1025	DIOR	A	F	N	84		
1	Sep-94	SHRUB	29	8	1994	24NE	1	57	N		DIOR	A	M	N	86		
1	Sep-94	SHRUB	29	8	1994	24NE	1	84	N		DIOR	S	F	N	58		
1	Sep-94	SHRUB	29	8	1994	24NE	1	100	N		DIOR	A	.	.		ESCAPED	
1	Sep-94	SHRUB	29	8	1994	24NE	1	43	N		ONLE	A	M	.	27		
1	Sep-94	SHRUB	29	8	1994	24NE	1	36	N	1001	ONLE	A	M	N	32		
1	Sep-94	SHRUB	29	8	1994	24NE	1	101	N	1021	ONLE	A	F	N	29		
1	Sep-94	SHRUB	29	8	1994	24NE	1	106	N	1004	ONLE	A	M	N	32		
1	Sep-94	SHRUB	29	8	1994	24NE	1	107	N		ONLE	A	F	N	33		
1	Sep-94	SHRUB	29	8	1994	24NE	1	108	N		ONLE	A	M	N	27		
1	Sep-94	SHRUB	29	8	1994	24NE	1	40	N	1012	PEMA	A	M	N	24		
1	Sep-94	SHRUB	29	8	1994	24NE	1	95	N		PEMA	A	M	N	17		
1	Sep-94	SHRUB	29	8	1994	24NE	1	113	N		PEMA	A	M	N	19		
1	Sep-94	SHRUB	29	8	1994	24NE	1	110	N		PEMA	A	F	N	18		
1	Sep-94	GRASS	29	8	1994	26NW	1	13	N		PEMA	A	M	N	22		
1	Sep-94	GRASS	29	8	1994	27NE	1	87	N		ONLE	A	F	N	28.5		
1	Sep-94	SHRUB	30	8	1994	24NE	2	48	N	1002	DIOR	A	M	R	84		
1	Sep-94	SHRUB	30	8	1994	24NE	2	15	N		DIOR	A	F	N	59		
