"sp_LTER","rel_reg_persist","rel_reg_occup","adj_abund"
"CHPE Jornada Basin",1,1,0.201889607160617
"DIME Jornada Basin",1,0.833333333333333,0.939333664843362
"DIOR Jornada Basin",1,1,1
"DISP Jornada Basin",0.923076923076923,0.666666666666667,0.127797115862755
"MUMU Jornada Basin",0.0769230769230769,0.5,0.00447538538040776
"NEAL Jornada Basin",0.923076923076923,1,0.184485330681253
"NEMI Jornada Basin",0.846153846153846,1,0.0626553953257086
"ONAR Jornada Basin",1,1,0.122327200397812
"ONLE Jornada Basin",1,0.666666666666667,0.100944803580308
"PEBO Jornada Basin",0.0769230769230769,0.166666666666667,0.000497265042267529
"PEER Jornada Basin",0.153846153846154,0.5,0.00298359025360517
"PELE Jornada Basin",0.846153846153846,1,0.0820487319741422
"PEMA Jornada Basin",0.0769230769230769,0.5,0.00248632521133764
"PGFL Jornada Basin",0.923076923076923,1,0.123321730482347
"REME Jornada Basin",0.461538461538462,0.5,0.0218796618597713
"SIHI Jornada Basin",0.769230769230769,1,0.095972153157633
"SPSP Jornada Basin",1,1,0.212829438090502
"CLCA H.J. Andrews",1,1,0.134004024144869
"DITE H.J. Andrews",0.6,0.777777777777778,0.00442655935613682
"ELCO H.J. Andrews",0.2,0.111111111111111,0.000402414486921529
"ENES H.J. Andrews",1,0.888888888888889,0.0140845070422535
"GLSA H.J. Andrews",1,1,0.0953722334004024
"MIOR H.J. Andrews",1,0.888888888888889,0.0837022132796781
"MUER H.J. Andrews",0.4,0.333333333333333,0.00160965794768612
"NECI H.J. Andrews",0.4,0.222222222222222,0.00160965794768612
"NEGI H.J. Andrews",0.2,0.111111111111111,0.000402414486921529
"PEMA H.J. Andrews",1,1,0.920321931589537
"PLDU H.J. Andrews",0.4,0.222222222222222,0.00321931589537223
"SCOC H.J. Andrews",0.2,0.111111111111111,0.000402414486921529
"SCOR H.J. Andrews",1,0.777777777777778,0.0221327967806841
"SOSP H.J. Andrews",1,1,0.103420523138833
"SOTR H.J. Andrews",1,1,0.238631790744467
"TADO H.J. Andrews",0.4,0.111111111111111,0.00120724346076459
"TAGR H.J. Andrews",0.2,0.222222222222222,0.000804828973843058
"TATO H.J. Andrews",1,1,1
"ZATR H.J. Andrews",0.8,0.777777777777778,0.0169014084507042
"CHHI Shortgrass Steppe",0.571428571428571,0.428571428571429,0.0149253731343284
"DIOR Shortgrass Steppe",1,0.571428571428571,0.664179104477612
"MIOC Shortgrass Steppe",0.428571428571429,0.142857142857143,0.0236318407960199
"ONLE Shortgrass Steppe",1,1,0.898009950248756
"PEFL Shortgrass Steppe",0.142857142857143,0.142857142857143,0.00248756218905473
"PEMA Shortgrass Steppe",1,1,1
"REME Shortgrass Steppe",0.857142857142857,0.714285714285714,0.159203980099502
"REMO Shortgrass Steppe",0.142857142857143,0.142857142857143,0.00124378109452736
"SPTR Shortgrass Steppe",0.857142857142857,0.714285714285714,0.0708955223880597
"SYAU Shortgrass Steppe",0.428571428571429,0.285714285714286,0.00621890547263682
"THTA Shortgrass Steppe",0.428571428571429,0.571428571428571,0.00621890547263682
"amle Sevilleta",0.05,0.111111111111111,0.000222617987533393
"chin Sevilleta",0.4,0.777777777777778,0.00467497773820125
"dime Sevilleta",1,1,1
"dior Sevilleta",1,1,0.180320569902048
"disp Sevilleta",1,0.888888888888889,0.257123775601069
"neal Sevilleta",1,1,0.0460819234194123
"nemi Sevilleta",0.8,1,0.0204808548530721
"onar Sevilleta",1,1,0.102404274265361
"onle Sevilleta",0.85,0.333333333333333,0.0233748886910062
"pgfl Sevilleta",0.75,0.333333333333333,0.0153606411398041
"pgfv Sevilleta",1,1,0.512243989314337
"pmbo Sevilleta",0.55,0.666666666666667,0.00890471950133571
"pmdi Sevilleta",0.2,0.444444444444444,0.00178094390026714
"pmer Sevilleta",0.9,0.555555555555556,0.0465271593944791
"pmle Sevilleta",0.85,1,0.0520926090828139
"pmma Sevilleta",0.15,0.222222222222222,0.000890471950133571
"pmtr Sevilleta",1,1,0.0496438112199466
"remg Sevilleta",0.9,1,0.03739982190561
"remn Sevilleta",0.35,0.888888888888889,0.0120213713268032
"sihi Sevilleta",0.15,0.333333333333333,0.00111308993766696
