"","species","years","rel_reg_persist","sites","rel_reg_occup","mean_local_persist","mean_local_occup","LTER"
"1","CHPE",13,1,6,1,0.666666666666667,0.666666666666667,"Jornada Basin"
"2","DIME",13,1,5,0.833333333333333,0.723076923076923,0.602564102564103,"Jornada Basin"
"3","DIOR",13,1,6,1,0.666666666666667,0.666666666666667,"Jornada Basin"
"4","DISP",12,0.923076923076923,4,0.666666666666667,0.730769230769231,0.527777777777778,"Jornada Basin"
"5","MUMU",1,0.0769230769230769,3,0.5,0.0769230769230769,0.5,"Jornada Basin"
"6","NEAL",12,0.923076923076923,6,1,0.653846153846154,0.708333333333333,"Jornada Basin"
"7","NEMI",11,0.846153846153846,6,1,0.371794871794872,0.439393939393939,"Jornada Basin"
"8","ONAR",13,1,6,1,0.602564102564103,0.602564102564103,"Jornada Basin"
"9","ONLE",13,1,4,0.666666666666667,0.711538461538462,0.474358974358974,"Jornada Basin"
"10","PEBO",1,0.0769230769230769,1,0.166666666666667,0.0769230769230769,0.166666666666667,"Jornada Basin"
"11","PEER",2,0.153846153846154,3,0.5,0.0769230769230769,0.25,"Jornada Basin"
"12","PELE",11,0.846153846153846,6,1,0.384615384615385,0.454545454545455,"Jornada Basin"
"13","PEMA",1,0.0769230769230769,3,0.5,0.0769230769230769,0.5,"Jornada Basin"
"14","PGFL",12,0.923076923076923,6,1,0.602564102564103,0.652777777777778,"Jornada Basin"
"15","REME",6,0.461538461538462,3,0.5,0.333333333333333,0.361111111111111,"Jornada Basin"
"16","SIHI",10,0.769230769230769,6,1,0.358974358974359,0.466666666666667,"Jornada Basin"
"17","SPSP",13,1,6,1,0.884615384615385,0.884615384615385,"Jornada Basin"
"18","amle",1,0.05,1,0.111111111111111,0.05,0.111111111111111,"Sevilleta"
"19","chin",8,0.4,7,0.777777777777778,0.0857142857142857,0.166666666666667,"Sevilleta"
"20","dime",20,1,9,1,0.738888888888889,0.738888888888889,"Sevilleta"
"21","dior",20,1,9,1,0.6,0.6,"Sevilleta"
"22","disp",20,1,8,0.888888888888889,0.85,0.755555555555556,"Sevilleta"
"23","neal",20,1,9,1,0.45,0.45,"Sevilleta"
"24","nemi",16,0.8,9,1,0.266666666666667,0.333333333333333,"Sevilleta"
"25","onar",20,1,9,1,0.744444444444444,0.744444444444444,"Sevilleta"
"26","onle",17,0.85,3,0.333333333333333,0.566666666666667,0.222222222222222,"Sevilleta"
"27","pgfl",15,0.75,3,0.333333333333333,0.5,0.222222222222222,"Sevilleta"
"28","pgfv",20,1,9,1,0.95,0.95,"Sevilleta"
"29","pmbo",11,0.55,6,0.666666666666667,0.191666666666667,0.232323232323232,"Sevilleta"
"30","pmdi",4,0.2,4,0.444444444444444,0.075,0.166666666666667,"Sevilleta"
"31","pmer",18,0.9,5,0.555555555555556,0.4,0.246913580246914,"Sevilleta"
"32","pmle",17,0.85,9,1,0.377777777777778,0.444444444444444,"Sevilleta"
"33","pmma",3,0.15,2,0.222222222222222,0.1,0.148148148148148,"Sevilleta"
"34","pmtr",20,1,9,1,0.322222222222222,0.322222222222222,"Sevilleta"
"35","remg",18,0.9,9,1,0.327777777777778,0.364197530864198,"Sevilleta"
"36","remn",7,0.35,8,0.888888888888889,0.15,0.380952380952381,"Sevilleta"
"37","sihi",3,0.15,3,0.333333333333333,0.05,0.111111111111111,"Sevilleta"
"38","CLCA",5,1,9,1,0.644444444444444,0.644444444444444,"H.J. Andrews"
"39","DITE",3,0.6,7,0.777777777777778,0.285714285714286,0.37037037037037,"H.J. Andrews"
"40","ELCO",1,0.2,1,0.111111111111111,0.2,0.111111111111111,"H.J. Andrews"
"41","ENES",5,1,8,0.888888888888889,0.525,0.466666666666667,"H.J. Andrews"
"42","GLSA",5,1,9,1,0.6,0.6,"H.J. Andrews"
"43","MIOR",5,1,8,0.888888888888889,0.525,0.466666666666667,"H.J. Andrews"
"44","MUER",2,0.4,3,0.333333333333333,0.2,0.166666666666667,"H.J. Andrews"
"45","NECI",2,0.4,2,0.222222222222222,0.2,0.111111111111111,"H.J. Andrews"
"46","NEGI",1,0.2,1,0.111111111111111,0.2,0.111111111111111,"H.J. Andrews"
"47","PEMA",5,1,9,1,0.955555555555556,0.955555555555555,"H.J. Andrews"
"48","PLDU",2,0.4,2,0.222222222222222,0.3,0.166666666666667,"H.J. Andrews"
"49","SCOC",1,0.2,1,0.111111111111111,0.2,0.111111111111111,"H.J. Andrews"
"50","SCOR",5,1,7,0.777777777777778,0.514285714285714,0.4,"H.J. Andrews"
"51","SOSP",5,1,9,1,0.977777777777778,0.977777777777778,"H.J. Andrews"
"52","SOTR",5,1,9,1,1,1,"H.J. Andrews"
"53","TADO",2,0.4,1,0.111111111111111,0.4,0.111111111111111,"H.J. Andrews"
"54","TAGR",1,0.2,2,0.222222222222222,0.2,0.222222222222222,"H.J. Andrews"
"55","TATO",5,1,9,1,1,1,"H.J. Andrews"
"56","ZATR",4,0.8,7,0.777777777777778,0.314285714285714,0.305555555555556,"H.J. Andrews"
"57","CHHI",4,0.571428571428571,3,0.428571428571429,0.19047619047619,0.142857142857143,"Shortgrass Steppe"
"58","DIOR",7,1,4,0.571428571428571,0.75,0.428571428571429,"Shortgrass Steppe"
"59","MIOC",3,0.428571428571429,1,0.142857142857143,0.428571428571429,0.142857142857143,"Shortgrass Steppe"
"60","ONLE",7,1,7,1,0.857142857142857,0.857142857142857,"Shortgrass Steppe"
"61","PEFL",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,"Shortgrass Steppe"
"62","PEMA",7,1,7,1,0.63265306122449,0.63265306122449,"Shortgrass Steppe"
"63","REME",6,0.857142857142857,5,0.714285714285714,0.457142857142857,0.380952380952381,"Shortgrass Steppe"
"64","REMO",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,"Shortgrass Steppe"
"65","SPTR",6,0.857142857142857,5,0.714285714285714,0.428571428571429,0.357142857142857,"Shortgrass Steppe"
"66","SYAU",3,0.428571428571429,2,0.285714285714286,0.214285714285714,0.142857142857143,"Shortgrass Steppe"
"67","THTA",3,0.428571428571429,4,0.571428571428571,0.142857142857143,0.19047619047619,"Shortgrass Steppe"
