Even_Occ,Even_Pers,Cluster_Pers,Cluster_Occ,Outlier_Pers,Outlier_Occ,Random_Pers,Random_Occ,,Dataset,Years,Happy
0.02,0.05,0.02,0.05,0.02,0.05,0.273196691,0.509723275,,,,
0.04,0.02,0.04,0.02,0.04,0.02,0.907516063,0.850977847,,,,
0.07,0.1,0.07,0.1,0.07,0.1,0.03068472,0.826308295,,,,
0.19,0.25,0.19,0.25,0.19,0.25,0.514513012,0.742875121,,,,
0.22,0.15,0.22,0.15,0.22,0.15,0.420288517,0.192493969,,,,
0.22,0.3,0.22,0.3,0.22,0.3,0.131412077,0.535757369,,,,
0.24,0.4,0.3,0.08,0.24,0.4,0.850091694,0.139435506,,,,
0.34,0.3,0.08,0.12,0.34,0.3,0.401059807,0.55950933,,,,
0.36,0.38,0.1,0.04,0.36,0.38,0.759199967,0.963818721,,,,
0.47,0.4,0.14,0.1,0.47,0.4,0.946376758,0.267336877,,,,
0.55,0.6,0.7,0.8,0.55,0.6,0.805345134,0.21701371,,,,
0.58,0.7,0.8,0.9,0.58,0.7,0.708023584,0.409049894,,,,
0.63,0.6,0.6,0.55,0.63,0.6,0.176928008,0.52488061,,,,
0.64,0.51,0.8,0.8,0.64,0.51,0.699967387,0.999886102,,,,
0.7,0.6,0.88,0.65,0.7,0.6,0.665507614,0.913964183,,,,
0.77,0.71,0.77,0.71,0.77,0.71,0.717398545,0.23046854,,,,
0.85,0.96,0.85,0.96,0.85,0.96,0.764422221,0.310139165,,,,
0.88,0.82,0.88,0.82,0.88,0.82,0.23915893,0.942744227,,,,
0.97,0.9,0.97,0.9,0.97,0.9,0.970592454,0.311902843,,,,
0.99,0.85,0.99,0.85,0.99,0.85,0.470075843,0.433376766,,,,
1,1,1,1,1,1,0.535899079,0.845473874,,,,
,,0.33,0.24,0.23,0.83,0.115356752,0.39136706,,,,
,,0.1,0.3,0.73,0.18,0.591284522,0.911897749,,,,
,,0.9,0.7,,,,,,,,
,,0.42,0.48,,,,,,,,
